method,layer_idx,proj,task,overlap
olora_safety,20,v_proj,gsm8k,0.018921520560979843
olora_safety,20,v_proj,sst2,0.035983163863420486
olora_safety,20,v_proj,mbpp,0.019626744091510773
olora_safety,21,q_proj,gsm8k,0.009812723845243454
olora_safety,21,q_proj,sst2,0.037001658231019974
olora_safety,21,q_proj,mbpp,0.01291654072701931
olora_safety,21,v_proj,gsm8k,0.019220031797885895
olora_safety,21,v_proj,sst2,0.031104983761906624
olora_safety,21,v_proj,mbpp,0.02075144089758396
olora_safety,22,q_proj,gsm8k,0.009816276840865612
olora_safety,22,q_proj,sst2,0.0452316552400589
olora_safety,22,q_proj,mbpp,0.013585371896624565
olora_safety,22,v_proj,gsm8k,0.021994315087795258
olora_safety,22,v_proj,sst2,0.04020237550139427
olora_safety,22,v_proj,mbpp,0.024863965809345245
olora_safety,23,q_proj,gsm8k,0.009168016724288464
olora_safety,23,q_proj,sst2,0.04928839951753616
olora_safety,23,q_proj,mbpp,0.01300545409321785
olora_safety,23,v_proj,gsm8k,0.020995020866394043
olora_safety,23,v_proj,sst2,0.03040030412375927
olora_safety,23,v_proj,mbpp,0.022269312292337418
olora_safety,24,q_proj,gsm8k,0.010022778995335102
olora_safety,24,q_proj,sst2,0.0422373041510582
olora_safety,24,q_proj,mbpp,0.013401265256106853
olora_safety,24,v_proj,gsm8k,0.021359439939260483
olora_safety,24,v_proj,sst2,0.03348347172141075
olora_safety,24,v_proj,mbpp,0.02247871272265911
olora_safety,25,q_proj,gsm8k,0.010853912681341171
olora_safety,25,q_proj,sst2,0.04322631284594536
olora_safety,25,q_proj,mbpp,0.014818057417869568
olora_safety,25,v_proj,gsm8k,0.01781240664422512
olora_safety,25,v_proj,sst2,0.03328945115208626
olora_safety,25,v_proj,mbpp,0.019645066931843758
olora_safety,26,q_proj,gsm8k,0.0077477567829191685
olora_safety,26,q_proj,sst2,0.05095316097140312
olora_safety,26,q_proj,mbpp,0.012119282968342304
olora_safety,26,v_proj,gsm8k,0.0154452258720994
olora_safety,26,v_proj,sst2,0.03774671256542206
olora_safety,26,v_proj,mbpp,0.017727956175804138
olora_safety,27,q_proj,gsm8k,0.008381577208638191
olora_safety,27,q_proj,sst2,0.0460481233894825
olora_safety,27,q_proj,mbpp,0.013027490116655827
olora_safety,27,v_proj,gsm8k,0.01853824220597744
olora_safety,27,v_proj,sst2,0.03493541479110718
olora_safety,27,v_proj,mbpp,0.020898383110761642
clora_random,0,q_proj,gsm8k,0.04981046915054321
clora_random,0,q_proj,sst2,0.022577378898859024
clora_random,0,q_proj,mbpp,0.01832571066915989
clora_random,0,v_proj,gsm8k,0.040996041148900986
clora_random,0,v_proj,sst2,0.02616124413907528
clora_random,0,v_proj,mbpp,0.02700960449874401
clora_random,1,q_proj,gsm8k,0.028086964040994644
clora_random,1,q_proj,sst2,0.020426874980330467
clora_random,1,q_proj,mbpp,0.020718587562441826
clora_random,1,v_proj,gsm8k,0.03482156991958618
clora_random,1,v_proj,sst2,0.02700043097138405
clora_random,1,v_proj,mbpp,0.028409862890839577
clora_random,2,q_proj,gsm8k,0.026756785809993744
clora_random,2,q_proj,sst2,0.013413135893642902
clora_random,2,q_proj,mbpp,0.012835318222641945
clora_random,2,v_proj,gsm8k,0.06808983534574509
