method,layer_idx,proj,task,overlap
olora_safety,16,v_proj,sst2,0.026447109878063202
olora_safety,16,v_proj,mbpp,0.018357060849666595
olora_safety,17,q_proj,gsm8k,0.010188248939812183
olora_safety,17,q_proj,sst2,0.028257060796022415
olora_safety,17,q_proj,mbpp,0.011655268259346485
olora_safety,17,v_proj,gsm8k,0.020457034930586815
olora_safety,17,v_proj,sst2,0.027832532301545143
olora_safety,17,v_proj,mbpp,0.02143612876534462
olora_safety,18,q_proj,gsm8k,0.010337183251976967
olora_safety,18,q_proj,sst2,0.03716319426894188
olora_safety,18,q_proj,mbpp,0.012639615684747696
olora_safety,18,v_proj,gsm8k,0.024804994463920593
olora_safety,18,v_proj,sst2,0.03715101629495621
olora_safety,18,v_proj,mbpp,0.026070499792695045
olora_safety,19,q_proj,gsm8k,0.011297144927084446
olora_safety,19,q_proj,sst2,0.03049512207508087
olora_safety,19,q_proj,mbpp,0.014075757935643196
olora_safety,19,v_proj,gsm8k,0.017665650695562363
olora_safety,19,v_proj,sst2,0.023427125066518784
olora_safety,19,v_proj,mbpp,0.018382316455245018
olora_safety,20,q_proj,gsm8k,0.011631399393081665
olora_safety,20,q_proj,sst2,0.031206458806991577
olora_safety,20,q_proj,mbpp,0.013281871564686298
olora_safety,20,v_proj,gsm8k,0.018921520560979843
olora_safety,20,v_proj,sst2,0.035983167588710785
olora_safety,20,v_proj,mbpp,0.019626745954155922
olora_safety,21,q_proj,gsm8k,0.009812724776566029
olora_safety,21,q_proj,sst2,0.03700165078043938
olora_safety,21,q_proj,mbpp,0.01291654072701931
olora_safety,21,v_proj,gsm8k,0.019220028072595596
olora_safety,21,v_proj,sst2,0.031104981899261475
olora_safety,21,v_proj,mbpp,0.02075144648551941
olora_safety,22,q_proj,gsm8k,0.00981628056615591
olora_safety,22,q_proj,sst2,0.0452316477894783
olora_safety,22,q_proj,mbpp,0.013585370033979416
olora_safety,22,v_proj,gsm8k,0.02199431136250496
olora_safety,22,v_proj,sst2,0.04020237177610397
olora_safety,22,v_proj,mbpp,0.024863965809345245
olora_safety,23,q_proj,gsm8k,0.00916801393032074
olora_safety,23,q_proj,sst2,0.049288395792245865
olora_safety,23,q_proj,mbpp,0.013005456887185574
olora_safety,23,v_proj,gsm8k,0.020995013415813446
olora_safety,23,v_proj,sst2,0.03040030226111412
olora_safety,23,v_proj,mbpp,0.02226930856704712
olora_safety,24,q_proj,gsm8k,0.010022778064012527
olora_safety,24,q_proj,sst2,0.0422372967004776
olora_safety,24,q_proj,mbpp,0.013401265256106853
olora_safety,24,v_proj,gsm8k,0.021359438076615334
olora_safety,24,v_proj,sst2,0.03348347172141075
olora_safety,24,v_proj,mbpp,0.022478710860013962
olora_safety,25,q_proj,gsm8k,0.010853908024728298
olora_safety,25,q_proj,sst2,0.04322630912065506
olora_safety,25,q_proj,mbpp,0.014818061143159866
olora_safety,25,v_proj,gsm8k,0.01781240664422512
olora_safety,25,v_proj,sst2,0.033289454877376556
olora_safety,25,v_proj,mbpp,0.01964506506919861
olora_safety,26,q_proj,gsm8k,0.0077477567829191685
olora_safety,26,q_proj,sst2,0.05095316097140312
olora_safety,26,q_proj,mbpp,0.01211928203701973
olora_safety,26,v_proj,gsm8k,0.0154452258720994
olora_safety,26,v_proj,sst2,0.03774671256542206
olora_safety,26,v_proj,mbpp,0.017727956175804138
olora_safety,27,q_proj,gsm8k,0.008381577208638191
olora_safety,27,q_proj,sst2,0.0460481271147728
olora_safety,27,q_proj,mbpp,0.013027488254010677
olora_safety,27,v_proj,gsm8k,0.01853824406862259
olora_safety,27,v_proj,sst2,0.03493541479110718
olora_safety,27,v_proj,mbpp,0.020898383110761642
clora_random,0,q_proj,gsm8k,0.04981045424938202
clora_random,0,q_proj,sst2,0.022577397525310516
clora_random,0,q_proj,mbpp,0.01832573488354683
clora_random,0,v_proj,gsm8k,0.040996089577674866
clora_random,0,v_proj,sst2,0.026161275804042816
clora_random,0,v_proj,mbpp,0.027009593322873116
clora_random,1,q_proj,gsm8k,0.028086960315704346
clora_random,1,q_proj,sst2,0.02042684704065323
clora_random,1,q_proj,mbpp,0.020718589425086975
clora_random,1,v_proj,gsm8k,0.034821517765522
clora_random,1,v_proj,sst2,0.027000397443771362
clora_random,1,v_proj,mbpp,0.028409887105226517
clora_random,2,q_proj,gsm8k,0.02675681747496128
clora_random,2,q_proj,sst2,0.013413161970674992
clora_random,2,q_proj,mbpp,0.012835286557674408
clora_random,2,v_proj,gsm8k,0.0680897906422615
clora_random,2,v_proj,sst2,0.04505815729498863
clora_random,2,v_proj,mbpp,0.042489051818847656
clora_random,3,q_proj,gsm8k,0.03141201287508011
clora_random,3,q_proj,sst2,0.021993489935994148
clora_random,3,q_proj,mbpp,0.020846299827098846
clora_random,3,v_proj,gsm8k,0.03791680559515953
clora_random,3,v_proj,sst2,0.023628374561667442
clora_random,3,v_proj,mbpp,0.02303139865398407
clora_random,4,q_proj,gsm8k,0.10123293101787567
clora_random,4,q_proj,sst2,0.01317506842315197
clora_random,4,q_proj,mbpp,0.012541517615318298
clora_random,4,v_proj,gsm8k,0.04761294275522232
clora_random,4,v_proj,sst2,0.025410246104002
clora_random,4,v_proj,mbpp,0.025155970826745033
clora_random,5,q_proj,gsm8k,0.022394055500626564
clora_random,5,q_proj,sst2,0.021515561267733574
clora_random,5,q_proj,mbpp,0.021836910396814346
clora_random,5,v_proj,gsm8k,0.035231854766607285
clora_random,5,v_proj,sst2,0.031611137092113495
clora_random,5,v_proj,mbpp,0.030397839844226837
clora_random,6,q_proj,gsm8k,0.02117813006043434
clora_random,6,q_proj,sst2,0.01797940582036972
clora_random,6,q_proj,mbpp,0.018324248492717743
clora_random,6,v_proj,gsm8k,0.03420569747686386
clora_random,6,v_proj,sst2,0.024015173316001892
clora_random,6,v_proj,mbpp,0.023012647405266762
clora_random,7,q_proj,gsm8k,0.02661275863647461
clora_random,7,q_proj,sst2,0.021764397621154785
clora_random,7,q_proj,mbpp,0.021218476817011833
clora_random,7,v_proj,gsm8k,0.03991732373833656
clora_random,7,v_proj,sst2,0.028048135340213776
clora_random,7,v_proj,mbpp,0.027612285688519478
clora_random,8,q_proj,gsm8k,0.029041673988103867
clora_random,8,q_proj,sst2,0.01566854864358902
clora_random,8,q_proj,mbpp,0.015260767191648483
clora_random,8,v_proj,gsm8k,0.03713294863700867
clora_random,8,v_proj,sst2,0.03341825306415558
clora_random,8,v_proj,mbpp,0.030518855899572372
clora_random,9,q_proj,gsm8k,0.020929943770170212
clora_random,9,q_proj,sst2,0.020461205393075943
clora_random,9,q_proj,mbpp,0.017635969445109367
clora_random,9,v_proj,gsm8k,0.04032457247376442
clora_random,9,v_proj,sst2,0.03084123507142067
clora_random,9,v_proj,mbpp,0.032361555844545364
clora_random,10,q_proj,gsm8k,0.03738896921277046
clora_random,10,q_proj,sst2,0.01924087293446064
clora_random,10,q_proj,mbpp,0.019955607131123543
clora_random,10,v_proj,gsm8k,0.0347893200814724
clora_random,10,v_proj,sst2,0.028325896710157394
clora_random,10,v_proj,mbpp,0.028041956946253777
clora_random,11,q_proj,gsm8k,0.02451946586370468
clora_random,11,q_proj,sst2,0.020878467708826065
clora_random,11,q_proj,mbpp,0.01857043243944645
clora_random,11,v_proj,gsm8k,0.041471343487501144
clora_random,11,v_proj,sst2,0.03480774909257889
clora_random,11,v_proj,mbpp,0.03323676809668541
clora_random,12,q_proj,gsm8k,0.027256350964307785
clora_random,12,q_proj,sst2,0.021836210042238235
clora_random,12,q_proj,mbpp,0.019869647920131683
clora_random,12,v_proj,gsm8k,0.036999233067035675
clora_random,12,v_proj,sst2,0.024299684911966324
clora_random,12,v_proj,mbpp,0.029399380087852478
clora_random,13,q_proj,gsm8k,0.031891755759716034
clora_random,13,q_proj,sst2,0.02304455265402794
clora_random,13,q_proj,mbpp,0.021020609885454178
clora_random,13,v_proj,gsm8k,0.025331400334835052
clora_random,13,v_proj,sst2,0.025515250861644745
clora_random,13,v_proj,mbpp,0.02309771627187729
clora_random,14,q_proj,gsm8k,0.02093411237001419
clora_random,14,q_proj,sst2,0.017108511179685593
clora_random,14,q_proj,mbpp,0.01614868827164173
clora_random,14,v_proj,gsm8k,0.0344763919711113
clora_random,14,v_proj,sst2,0.028582541272044182
clora_random,14,v_proj,mbpp,0.02640223689377308
clora_random,15,q_proj,gsm8k,0.022137541323900223
clora_random,15,q_proj,sst2,0.019956713542342186
clora_random,15,q_proj,mbpp,0.018899139016866684
clora_random,15,v_proj,gsm8k,0.0296972393989563
clora_random,15,v_proj,sst2,0.03462270647287369
clora_random,15,v_proj,mbpp,0.033938147127628326
clora_random,16,q_proj,gsm8k,0.026006707921624184
clora_random,16,q_proj,sst2,0.03067096322774887
clora_random,16,q_proj,mbpp,0.029593225568532944
clora_random,16,v_proj,gsm8k,0.032912615686655045
clora_random,16,v_proj,sst2,0.03274744376540184
